,category,service,link,info
40,Здравоохранение,Вызов врача на дом,/cms/ru/online-services/for_citizen/496pass_mz,"Результат оказания услуги
При непосредственном обращении или по телефонной связи – запись в журнале регистрации вызовов организации ПМСП и устный ответ с указанием даты, времени посещения врача
В электронном формате при обращении на портал – уведомление в виде статуса электронной заявки в личном кабинете.
При этом после принятия запроса на оказание государственной услуги пациенту в установленное время на дому оказывается медицинская помощь.
"
41,Здравоохранение,Запись на вакцинацию,/cms/ru/online-services/for_citizen/Zapis-na-vakcinaciyu,"Результат оказания услуги
Уведомление о записи на вакцинацию.
"
42,Здравоохранение,Запись на прием к врачу,/cms/ru/online-services/for_citizen/495pass_mz,"Результат оказания услуги
1. При непосредственном обращении или по телефонной связи к организации ПМСП – запись в журнале предварительной записи на прием к врачу организации ПМСП и устный ответ с указанием даты, времени приема врача в соответствии с графиком приема врачей.
2. На портале – уведомление в виде статуса электронной заявки в личном кабинете.
"
43,Здравоохранение,Информации об ОСМС,/cms/ru/online-services/for_citizen/pass171-2_mz,"Результат оказания услуги
Информация об участии в качестве потребителя медицинских услуг и о перечисленных суммах отчислений и (или) взносов в системе обязательного социального медицинского страхования.
"
44,Здравоохранение,"Информация о предоставленных лекарственных средствах, спецпродуктах, изделиях медицинского назначения ",/cms/ru/online-services/for_citizen/pass710_mz,"Результат оказания услуги
При непосредственном обращении к услугодателю – предоставление лекарственных средств, специализированных лечебных продуктов, изделий медицинского назначения отдельным категориям граждан.
При обращении на портал – предоставление лекарственных средств, специализированных лечебных продуктов, изделий медицинского назначения отдельным категориям граждан в режиме просмотра информации в Личном кабинете Электронного Правительства.
Мотивированный отказ в оказании услуги.
"
45,Здравоохранение,Корректировка сведений по вакцинации,/cms/ru/online-services/for_citizen/correction_vaccination_inf,"Результат оказания услуги
Уведомление об актуализации сведений либо мотивированный ответ об отказе.
"
46,Здравоохранение,"Получение заключения о безопасности, качестве и эффективности лекарственных средств и медицинских изделий",/cms/ru/online-services/for_citizen/153-3pass_mz,"Результат оказания услуги
Для лекарственных средств: выдача заключения о безопасности, качестве и эффективности лекарственных средств либо мотивированный ответ об отказе в оказании государственной услуги.
Для медицинских изделий: выдача заключения о безопасности, качестве и эффективности медицинских изделий либо мотивированный ответ об отказе в оказании государственной услуги.
Условие хранения услугодателем невостребованных в срок документов: при не обращении услугополучателя за результатом государственной услуги в указанный срок, услугодатель обеспечивает хранение заключения о безопасности, качестве и эффективности лекарственных средств и медицинских изделий в течение 180 календарных дней.
"
47,Здравоохранение,Регистрация прижизненного отказа или согласия на посмертное донорство органов (части органа) и (или) тканей (части ткани) в целях трансплантации,/cms/ru/online-services/for_citizen/mzsr_132_1,"Результат оказания услуги
Справка о регистрации прижизненного отказа на посмертное донорство органов (части органа) и (или) тканей (части ткани).
Справка о регистрации прижизненного согласия на посмертное донорство органов (части органа) и (или) тканей (части ткани).

"
48,Здравоохранение,Регистрация цены на лекарственные средства и медицинские изделия,/cms/ru/online-services/for_citizen/pass601013_mz,"Результат оказания услуги
1. Сведения о зарегистрированной цене на лекарственные средства в рамках ГОБМП и (или) в системе ОСМС.
2. Све­де­ния о за­ре­ги­стри­ро­ван­ной цене на ме­ди­цин­ские из­де­лия в рам­ках га­ран­ти­ро­ван­но­го объ­е­ма бес­плат­ной ме­ди­цин­ской по­мо­щи и (или) в си­сте­ме обя­за­тель­но­го со­ци­аль­но­го ме­ди­цин­ско­го стра­хо­ва­ния.
3. Мотивированный ответ об отказе в оказании государственной услуги.
"
49,Здравоохранение,Справка об отсутствии динамического наблюдения больных с психическими поведенческими расстройствами,/cms/ru/online-services/for_citizen/2F161_mzsr,"Результат оказания услуги
Сведения о состоянии на динамическом наблюдении (либо отсутствии динамического наблюдения) в форме электронного документа.
"
50,Здравоохранение,Справка об отсутствии динамического наблюдения наркологических больных,/cms/ru/online-services/for_citizen/2Fpassport,"Результат оказания услуги
Сведения о состоянии на динамическом наблюдении (либо отсутствии динамического наблюдения) в форме электронного документа.
"
51,Здравоохранение,Справка о несостоянии на динамическом наблюдении больных туберкулезом,/cms/ru/online-services/for_citizen/2F00604003_mzsr,"Результат оказания услуги
Сведения о состоянии или несостоянии на диспансерном учете больных туберкулезом.
"
52,Здравоохранение,Справка по динамическому наблюдению,/cms/ru/online-services/for_citizen/2F128_mzsr,"Результат оказания услуги
1. Справка с медицинской организации, оказывающей первичную медико-санитарную помощь, выданная по форме № 027/у, утвержденной приказом исполняющего обязанности Министра здравоохранения Республики Казахстан от 30 октября 2020 года № ҚР ДСМ-175/2020 ""Об утверждении форм учетной документации в области здравоохранения"" (зарегистрирован в Реестре государственной регистрации нормативных правовых актов под № 21579) при непосредственном обращении к организациям ПМСП подписанными участковым врачом или врачом общей практики, заверенными личной врачебной печатью и печатью организации ПМСП
2. На портал - в форме электронного документа, подписанного электронной цифровой подписью организации ПМСП.
3. Мотивированный отказ.
"
53,Образование,Авансирование стипендиатов международной стипендии «Болашак» ,/cms/ru/online-services/for_citizen/pass200_mon,"Результат оказания услуги
Письмо о перечислении авансовой суммы в тенге на банковский счет услугополучателя либо мотивированный ответ об отказе в оказании государственной услуги.
"
54,Образование,Актуализация (корректировка) сведений о документах об образовании,/cms/ru/online-services/for_citizen/passP50_07_mp_mnvo,"Результат оказания услуги
"
55,Образование,"Апостилирование официальных документов, исходящих из организаций образования",/cms/ru/online-services/for_citizen/209pass_mon,"Результат оказания услуги
Выдача готовых документов со штампом ""апостиль"" на бумажном носителе либо мотивированный ответ об отказе.
"
56,Образование,"Выдача договора залога недвижимого имущества, предоставленного в качестве обеспечения исполнения обязательств стипендиатов международной стипендии «Болашак», и уведомление о его прекращении",/cms/ru/online-services/for_citizen/pass201-202_mon,"Результат оказания услуги
1) Договор залога недвижимого имущества, либо мотивированный ответ об отказе в оказании государственной услуги.
2) Письмо и доверенность для снятия обременения с недвижимого имущества, при исполнении обязательств стипендиатом международной стипендии ""Болашак"", либо мотивированный ответ об отказе в оказании государственной услуги.
"
57,Образование,Выдача дубликатов документов об образовании,/cms/ru/online-services/for_citizen/pass-mon212-214,"Результат оказания услуги
1) Дубликат документов об основном среднем, общем среднем образовании либо мотивированный ответ об отказе.
2) Дубликат документа о высшем и (или) послевузовском образовании либо мотивированный ответ об отказе.
3) Дубликат документов о техническом и профессиональном, послесреднем образовании или мотивированный ответ об отказе.

"
58,Образование,Выдача лицензии на занятие образовательной деятельностью в сфере высшего и послевузовского образования,/cms/ru/online-services/for_citizen/pass_mnvo,"Результат оказания услуги
Лицензия и/или приложение к лицензии, переоформленная лицензия и/или приложение к ней либо мотивированный ответ об отказе.
"
59,Образование,"Выдача лицензии на занятие образовательной деятельностью в сфере начального, основного среднего, общего среднего, технического и профессионального, послесреднего образования, духовного образования",/cms/ru/online-services/for_citizen/204pass_mon,"Результат оказания услуги
Лицензия и/или приложение к лицензии, переоформленная лицензия и/или приложение к ней либо мотивированный ответ об отказе.
"
